base,intersect to,T,det,signature,matrix
3,8,8,-81,1,-2 1 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0;0 0 1 -3 1 0 0 0 -1;0 0 0 1 -1 1 0 1 1;0 0 0 0 1 -2 1 0 0;0 0 0 0 0 1 -5 0 -3;0 0 0 0 1 0 0 -1 1;0 0 0 -1 1 0 -3 1 2
3,9,7,25,1,-2 1 0 0 0 0 0 0;1 -2 1 0 0 0 0 0;0 1 -2 1 0 0 0 0;0 0 1 -2 1 0 0 0;0 0 0 1 -1 1 1 1;0 0 0 0 1 -5 0 -3;0 0 0 0 1 0 -1 1;0 0 0 0 1 -3 1 3
3,10,9,121,1,-2 1 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0;0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 1 -6 0 -4;0 0 0 0 0 1 0 0 -1 1;0 0 0 0 -1 1 0 -4 1 1
3,11,8,-36,1,-2 1 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0;0 0 1 -2 1 0 0 0 0;0 0 0 1 -2 1 0 0 0;0 0 0 0 1 -1 1 1 1;0 0 0 0 0 1 -6 0 -4;0 0 0 0 0 1 0 -1 1;0 0 0 0 0 1 -4 1 2
3,12,10,-169,1,-2 1 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 1 -7 0 -5;0 0 0 0 0 0 1 0 0 -1 1;0 0 0 0 0 -1 1 0 -5 1 0
3,13,9,49,1,-2 1 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0;0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 1 -7 0 -5;0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 1 -5 1 1
3,14,11,225,1,-2 1 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 1 -8 0 -6;0 0 0 0 0 0 0 1 0 0 -1 1;0 0 0 0 0 0 -1 1 0 -6 1 -1
3,15,10,-64,1,-2 1 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 1 -8 0 -6;0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 1 -6 1 0
3,16,12,-289,1,-2 1 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 1 -3 1 0 0 0 -1;0 0 0 0 0 0 0 1 -1 1 0 1 1;0 0 0 0 0 0 0 0 1 -2 1 0 0;0 0 0 0 0 0 0 0 0 1 -9 0 -7;0 0 0 0 0 0 0 0 1 0 0 -1 1;0 0 0 0 0 0 0 -1 1 0 -7 1 -2
3,17,11,81,1,-2 1 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 1 -9 0 -7;0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 1 -7 1 -1
